language_old,Languages_Excluding_Spanish,Num_Additional_Languages
0,,0
1,N/A,1
" el idioma Valenciano por 9 aí±os, Ingles 3 aí±os",English,1
" ingles, solo tiempo bíçsicos en el sistema educativo",English,1
1 catellano mis 20 aí±os,,0
í_nicamente espaí±ol,,0
Actualmente estoy estudiando el idioma Ingles durante dos aí±os y medio ,English,1
Algo de ingles y estudie por 2 aí±os ,English,1
Castellano ,,0
"chino por un aí±o , ingles en constante estudio","Chinese, English",2
"Conozco el inglí©s pero no hablo perfecto ,estudií© desde la escuela pero muy poco la verdad ",English,1
"Dos, espaí±ol nativo e inglí©s ",English,1
"Espa;ol 18
Ingles 8",English,1
Espa;ol e Inglí©s 3 a;os,English,1
espaí±ol,,0
Espaí±ol,,0
Espaí±ol ,,0
"Espaí±ol- 16 aí±os
Inglí©s- 5 aí±os ",English,1
"Espaí±ol 22 aí±os
Frances 6 aí±os",French,1
Espaí±ol inglí©s ,English,1
Espaí±ol largo de mi existencia,,0
"Espaí±ol solamente, aun que estoy aprendiendo ingles",English,1
Espaí±ol.,,0
"espaí±ol/ mi lengua natal
frances/ un aí±o en el colegio",French,1
Espaí±ol: soy nativa ,,0
Espaí±ol_Quichua,Quechua,1
Espanol,,0
"Espanol 26 anos
English 5 anos",English,1
"espanol por 23 anos 
Ingles por 4 anos",English,1
"Estudio inglí©s, 3 aí±os",English,1
Francí©s (2 aí±os),French,1
Francí©s por una duracií_n de aí±o y medio,French,1
"francí©s, 2 aí±os ",French,1
Hablo el inglí©s desde hace 7 aí±os y la estudí_e 3 aí±os en una academia de inglí©s.,English,1
"Hablo francí©s y lo he estudiado por dos aí±os. Tambií©n hablo inglí©s, el cual lo aprendí_ durante los 6 aí±os de bachillerato. Hace un aí±o, estuve estudiante kichwa y cursí© dos niveles de cuatro meses cada uno. ","English, French, Quechua",3
Hablo inglí©s y lo he estudiado desde los 3 aí±os.,English,1
He estudiado Ingles desde muy nií±o (no avanzado) e Italiano durante unos meses.,"English, Italian",2
InglíÂs: 3 aí±os,English,1
Inglí©s ,English,1
Inglí©s - 2 aí±os ,English,1
"Inglí©s - alrededor de 12 aí±os
Francí©s - 6 aí±os","English, French",2
"Inglí©s 
Desde la escuela",English,1
"Inglí©s --&gt; 15 aí±os 
Portuguí©s --&gt; 2 aí±os ","English, Portuguese",2
"Inglí©s (12 aí±os de colegio, varios cursos en el Consejo Britíçnico)",English,1
"Inglí©s (23 aí±os, uso diario), francí©s (4 aí±os), italiano (4 aí±os), mandarí_n (1 aí±o)","Chinese, English, French, Italian",4
Inglí©s (5 aí±os),English,1
inglí©s 1 aí±o,English,1
Inglí©s 14 aí±os,English,1
"Inglí©s 15 aí±os
Italiano 1 aí±o
Alemíçn 6 meses
Portuguí©s 6 meses
Francí©s 6 meses","English, Italian, German, Portuguese, French",5
Inglí©s 3 aí±os,English,1
Inglí©s 4 aí±os ,English,1
"Inglí©s 4 aí±os
italiano 2 aí±os",English,2
Inglí©s 5 aí±os.,English,1
"Inglí©s 7 aí±os 
Alemíçn 2 aí±os ",English,2
"Inglí©s alrededor de un aí±o, y francí©s, 1 semestre en la Universidad.","English, French",2
inglí©s he estudiado por 10 aí±os,English,1
Inglí©s por 30 aí±os,English,1
Inglí©s por 5 aí±os,English,1
Inglí©s por un aí±o,English,1
"Inglí©s por varios aí±os
Portuguí©s por unos meses","English, Portuguese",2
Inglí©s un aí±o ,English,1
"Inglí©s y alemíçn, inglí©s por 10 aí±os, aleman 1 aí±os ","English, German",2
"Inglí©s, 1 aí±o.",English,1
"Inglí©s, 32 aí±os.",English,1
"Inglí©s, desde la escuela hasta la universidad
Francí©s, desde el colegio","English, French",1
"Inglí©s, desde los 5 aí±os",English,1
"Inglí©s, enseí±ada desde la escuela. He estudiado alemíçn y kichwa alrededor de un aí±o.","English, German, Quechua",3
"Inglí©s, estudiado durante 5 aí±os.",English,1
"Inglí©s, la estudie solo en bachillerato",English,1
"Inglí©s, lo he estudiando alrededor de 5 aí±os ",English,1
"Inglí©s, toda mi vida",English,1
"Inglí©s, un aí±o aproximadamente ",English,1
"Inglí©s. Estudie desde los 6 aí±os hasta los 17. Lo manejo bastante bien: hablo, escribo, leo.",English,1
"Inglí©s. Lo he estudiado aproximadamente por 12-13 aí±os de mi vida. Actualmente lo domino muy bien. Ademíçs, llevo 9 meses estudiando y aprendiendo francí©s desde cero.",English,2
Inglí©s: 10 aí±os ,English,1
Inglí©s: 3 aí±os,English,1
"Inglí©s: 3 aí±os aproximadamente. 
Alemíçn: 3 meses aproximadamente. ",English,
ingles,English,1
Ingles ,English,1
"Ingles - 12 aí±os
Frances- 3 aí±os
Italiano-1 aí±o ","English, French, Italian",3
"Ingles - 13 aí±os
",English,1
Ingles - 4 aí±os,English,1
Ingles  y francí©s por un aí±o aproximadamente ,English,
Ingles ( 8 aí±os ),English,1
Ingles /  6 ciclos universitarios,English,1
Ingles 1 aí±o,English,1
Ingles 1 aí±o ,English,1
"Ingles 12 aí±os, alemíçn 2 aí±os, portuguí©s 1 aí±o",English,
Ingles 13 aí±os,English,1
ingles 2 aí±os,English,1
"Ingles 2, Frances 3 meses , Portugues 1 aí±o  , Rumano y  6 meses","English, Portuguese, Romanian",3
"Ingles 20 aí±os 
Portugues 6 meses ","English, Portuguese",2
Ingles 3 aí±os,English,1
Ingles 3 aí±os ,English,1
Ingles 4,English,1
ingles 5 aí±os ,English,1
"Ingles 5 aí±os
Hebreo 2 aí±os","English, Hebrew",2
Ingles 7 aí±os ,English,1
